ID,city,name,price,address,bedroom,bathroom,garage,surface_area,building_area
1,Jakarta Timur,For Sale Luxury And Elite House In The Heart Of East Jakarta With Easy Access,"Rp 5,4 Miliar","Cakung, Jakarta Timur",5,5,2 + 2,LT:  105 m²,LB:  180 m²
2,Jakarta Timur,Butuh Duit Banget,"Rp 2,9 Miliar","Jakarta Garden City, Jakarta Timur",5,3,1,LT:  112 m²,LB:  150 m²
3,Jakarta Timur,For Sale Rumah Brand New Lokasi Strategies Dekat Cempaka Putih dan Kayu Putih dan Senen Depan Rumah Dua Mobil Siap Huni Dekat Kemana Mana Area Rawamangun Jakarta Timur,"Rp 3,5 Miliar","Rawamangun, Jakarta Timur",3,3,2,LT:  90 m²,LB:  200 m²
4,Jakarta Timur,"Jual Murah Rumah 2 Lantai Premium - Cluster Thames, Jakarta Garden City 028 Co 007","Rp 1,42 MiliarRp 1.9 MTurun Rp 480 Jutaan","Cakung, Jakarta Timur",3 + 1,2 + 1,1,LT:  90 m²,LB:  75 m²
5,Jakarta Timur,Rumah Bagus Baru Dijual 3 Bedroom Lokasi Strategis Premium,"Rp 3,4 Miliar","Rawamangun, Jakarta Timur",3,2,2 + 2,LT:  105 m²,LB:  108 m²
6,Jakarta Timur,"Hunian One Stop Living Elit untuk Keluarga, Lokasi Terbaik Dekat Pusat Jakarta","Rp 5,4 Miliar","Jakarta Garden City, Jakarta Timur",5,5,1 + 1,LT:  105 m²,LB:  180 m²
7,Jakarta Timur,Termurah Rumah Rawamangun Masuk Mobil,Rp 900 JutaRp 1.2 MTurun Rp 300 Jutaan,"Rawamangun, Jakarta Timur",2,2,1 + 1,LT:  34 m²,LB:  75 m²
8,Jakarta Timur,Rumah Cluster Shinano 2Lt 10X15 150Meter 4Kt Jgc Jakarta Garden City,"Rp 2,4 Miliar","Jakarta Garden City, Jakarta Timur",4 + 1,3 + 1,2,LT:  150 m²,LB:  121 m²
9,Jakarta Timur,Hunian Mewah 3 Lantai dengan Clubhouse Bintang 5 di Jakarta,"Rp 5,4 Miliar","Duren Sawit, Jakarta Timur",5,5,2 + 2,LT:  105 m²,LB:  180 m²
10,Jakarta Timur,Dijual Rumah 2Lantai Nyaman dan Asri di Kalisari Pekayon Jakarta.timur,Rp 750 Juta,"Kalisari, Jakarta Timur",3,2,1 + 1,LT:  50 m²,LB:  60 m²
11,Jakarta Timur,New Condition Rumah Modern 2 Lantai Bagus Nyaman di Dalam Cluster,"Rp 3,4 Miliar","Pondok Kelapa, Jakarta Timur",3,2,2 + 2,LT:  105 m²,LB:  108 m²
12,Jakarta Timur,Di Jual Cepat Rumah Siap Huni Dekat Kawasan Industri Pulo Gadung,"Rp 1,12 Miliar","Pulo Gadung, Jakarta Timur",3,3,1,LT:  47 m²,LB:  73 m²
13,Jakarta Timur,Rumah Luas Megah 3 Lantai dengan 5 Kamar Tidur Dijual di Jakarta Timur Sangat Premium,"Rp 5,4 Miliar","Jakarta Garden City, Jakarta Timur",5,5,1 + 1,LT:  105 m²,LB:  180 m²
14,Jakarta Timur,Rumah Mewah di Jaktim Akses Mudah dengan Fasilitas Sangat Lengkap 3 Lantai,"Rp 5,4 Miliar","Cakung, Jakarta Timur",5,5,2 + 2,LT:  105 m²,LB:  180 m²
15,Jakarta Timur,Rumah Mewah Luas Modern Baru 4BR Kota Wisata Cibubur Strategis Free DP,"Rp 3,4 Miliar","Cibubur, Jakarta Timur",4,4,1 + 1,LT:  120 m²,LB:  149 m²
16,Jakarta Timur,Dijual Rumah Baru Nan Modern 3 Lantai di Jaktim Dekat Sekolah dan Akses Strategis,"Rp 5,4 Miliar","Cipayung, Jakarta Timur",5,5,2 + 2,LT:  105 m²,LB:  180 m²
17,Jakarta Timur,Hunian Nyaman Mewah Dijual di Metland Menteng Cakung Jakarta Timur 4 BR,"Rp 3,4 Miliar","Cakung, Jakarta Timur",3,2,2 + 2,LT:  105 m²,LB:  108 m²
18,Jakarta Timur,Rumah Baru Bagus Mewah Luas Dijual di Jaktim 3 Lantai Lokasi Strategis Bebas Banjir,"Rp 5,4 Miliar","Cakung, Jakarta Timur",5,5,2 + 2,LT:  105 m²,LB:  180 m²
19,Jakarta Timur,Rumah Mewah Modern dan Bebas Bnjir di Cluster Zebrina Jgc - Hunian Eksklusif di Jakarta Timur,"Rp 2,5 Miliar","Jakarta Garden City, Jakarta Timur",4,4,1 + 1,LT:  148 m²,LB:  156 m²
20,Jakarta Timur,Jual Rumah Premium 3 Lantai Paling Dicari di Jakarta Harga Dijamin Worth It!,"Rp 5,4 Miliar","Rawamangun, Jakarta Timur",5,5,1 + 1,LT:  105 m²,LB:  180 m²
21,Jakarta Barat,Rumah Meruya Utara 10X25 Boulevard Siap Huni,"Rp 3,9 MiliarRp 4 MTurun Rp 90 Jutaan","Meruya, Jakarta Barat",5 + 1,4 + 1,2 + 1,LT:  250 m²,LB:  400 m²
22,Jakarta Barat,Riviera @ Puri - 10X18 - Furnished - Unit Ready.,"Rp 6,3 MiliarRp 6.5 MTurun Rp 200 Jutaan","Metland Puri, Jakarta Barat",4,3,2,LT:  180 m²,LB:  211 m²
23,Jakarta Barat,"Ana Rumah Nyaman 2.25Lt Luas 8X15m Model American Classic di Komplek Meruya, Kembangan, Jakarta Barat - * Good- Deal !!*","Rp 3,2 Miliar","Meruya, Jakarta Barat",3 + 1,3 + 1,2 + 2,LT:  120 m²,LB:  198 m²
24,Jakarta Barat,"Ana Rumah Murah Luas 10X15m Harga 1M-An, Rp. 12Jt-An Perm2 di Duri Kepa, Kebon Jeruk - * Good- Deal !!*","Rp 1,9 Miliar","Duri Kepa, Jakarta Barat",3 + 1,2 + 1,2 + 2,LT:  150 m²,LB:  138 m²
25,Jakarta Barat,Ana Rumah Full Furnish di Kav Polri Luas 4.65X16m 3.5Lt Lingkungan Jelambar - * Good- Deal !!*,"Rp 2,99 MiliarRp 3.5 MTurun Rp 510 Jutaan","Jelambar, Jakarta Barat",3 + 1,4 + 1,1 + 1,LT:  74 m²,LB:  188 m²
26,Jakarta Barat,Ana Rumah Bagus 4Lt Luas 4X11m Full Furnish Design Cantik dan Interior Modern di Jelambar - * Good- Deal !!*,"Rp 2,2 Miliar","Jelambar, Jakarta Barat",3 + 1,3 + 1,1 + 1,LT:  44 m²,LB:  118 m²
27,Jakarta Barat,Hot Sale Rumah Mewah Puri Indah - Sangat Ekslusif,"Rp 27,5 Miliar","Puri Indah, Jakarta Barat",4 + 2,4 + 2,0,LT:,LB:
28,Jakarta Barat,Hot Rumah 4 Lantai Premium Jakarta Barat,Rp 9 Miliar,"Permata Buana, Jakarta Barat",5 + 1,4 + 1,1 + 2,LT:  144 m²,LB:  460 m²
29,Jakarta Barat,Jarang Ada! Rumah Kavling Polri Blok Favorite Jelambar,"Rp 2,99 MiliarRp 3.5 MTurun Rp 510 Jutaan","Jelambar, Jakarta Barat",4,4,1,LT:  74 m²,LB:  142 m²
30,Jakarta Barat,Full Furnish Modern House 5.5X19 Strategis Duri Kepa Jakarta Barat,"Rp 2,8 Miliar","Duri Kepa, Jakarta Barat",5,4,1,LT:  105 m²,LB:  225 m²
31,Jakarta Barat,Rumah 7.5X15.7 Hadap Timur Komplek Favorite Kavling Polri Jelambar Jakarta Barat,"Rp 3,35 Miliar","Jelambar, Jakarta Barat",6,3,1,LT:  117 m²,LB:  300 m²
32,Jakarta Barat,Gak Masuk Akal! Rumah Mewah Puri Indah Ini Sudah Ada Lift & Pool di Dalam,Rp 12 Miliar,"Puri Indah, Jakarta Barat",4,3,2 + 2,LT:  140 m²,LB:  400 m²
33,Jakarta Barat,Harga Masih Masuk! Rumah Cantik Semi Furnish di Cluster Favorit Green Lake City,"Rp 1,35 Miliar","Green Lake City, Jakarta Barat",2,2,1,LT:  48 m²,LB:  64 m²
34,Jakarta Barat,Dijual Rumah Milenial Brand New Permata Buana Lebar 8 4 Lantai Sudah tersedia Kitchenset,Rp 9 Miliar,"Permata Buana, Jakarta Barat",5 + 1,4 + 1,0,LT:,LB:
35,Jakarta Barat,Rumah 3 Lantai Dijual Permata Buana Ada Taman Belakang - LT 250M2,"Rp 9,9 Miliar","Permata Buana, Jakarta Barat",4 + 2,4 + 1,2 + 2,LT:  250 m²,LB:  500 m²
36,Jakarta Barat,Nego Sampai Deal.!! Rumah Hook Siap Huni SHM Furnish Citra Garden,"Rp 11,5 Miliar","Citra Garden, Jakarta Barat",5 + 1,4 + 1,2 + 8,LT:  320 m²,LB:  283 m²
37,Jakarta Barat,"Rumah Modern 3 Lantai di Puri, Lokasi Super Strategis 4 Akses Tol","Rp 3,8 Miliar","Meruya, Jakarta Barat",6 + 1,5 + 1,2 + 2,LT:  96 m²,LB:  187 m²
38,Jakarta Barat,"Rumah 3 Kamar Tidur Dekat Joglo,Meruya dan Karang Tengah Free PPN","Rp 1,8 Miliar","Villa Meruya, Jakarta Barat",3 + 1,3 + 1,2 + 2,LT:  71 m²,LB:  99 m²
39,Jakarta Barat,Rumah Brand New Puri Indah Kembangan Desain Modern Luxury - 140M2,Rp 12 Miliar,"Puri Indah, Jakarta Barat",3 + 1,3 + 3,2 + 2,LT:  140 m²,LB:  400 m²
40,Jakarta Barat,Rumah 2 Lantai Mewah Dekat Tol Meruya Puri Jakarta Barat Free PPN,"Rp 1,9 Miliar","Meruya, Jakarta Barat",3 + 1,3 + 1,2 + 2,LT:  71 m²,LB:  99 m²
41,Jakarta Selatan,"For Sale Rumah Harga Murah Lokasi Strategis Pinggir Jalan Raya bisa Cocok untuk Townhhouse, Perkantoran, Cafe, Restaurant, Kos Kosan, Hotel, Apotek atau Ruko atau Tempat Tinggal atau Multifungsi Harga Nego Sampai Deal Area Cipete Jakarta Selatan","Rp 28,9 Miliar","Cipete, Jakarta Selatan",4,2,7,LT:  916 m²,LB:  450 m²
42,Jakarta Selatan,For Sale Rumah Lama Harga Dibawah NJOP Area Komersil Lokasi Strategis bisa Multifungsi dan bisa Buat Showroom atau Bengkel atau Klinik atau Gedung atau Resto atau Cafe atau Supermarket Area Hj Nawi Cipete Kebayoran Baru Jakarta Selatan,Rp 55 Miliar,"Cipete, Jakarta Selatan",7,7,11,LT:  1800 m²,LB:  1600 m²
43,Jakarta Selatan,For Sale Rumah Mewah Baru Lokasi Tenang dan Asri Bangunan Lokasi Dekat Jis dan Bukit Golf dan Mall Pondok Indah Jakarta Selatan,Rp 40 Miliar,"Pondok Indah, Jakarta Selatan",5,5,5,LT:  627 m²,LB:  1050 m²
44,Jakarta Selatan,For Sale Rumah Lama Harga Dibawah NJOP Area Komersil Lokasi Strategis bisa Multifungsi dan bisa Buat Hotel atau Showroom atau Bengkel atau Klinik atau Gedung atau Resto atau Cafe atau Supermarket Area Hj Nawi Cipete Fatmawati Dekat Kebayoran Baru Jakarta,Rp 55 Miliar,"Kebayoran Baru, Jakarta Selatan",7 + 1,7 + 3,10,LT:  1800 m²,LB:  1600 m²
45,Jakarta Selatan,For Sale Rumah Murah Dekat MRT dan Fatmawati dan Cipete Raya dan Sekolah Internasional dan Kemang dan Kebayoran Baru Area Cipete Jakarta Selatan,"Rp 9,5 Miliar","Cipete, Jakarta Selatan",5,3,4,LT:  463 m²,LB:  310 m²
46,Jakarta Selatan,"For Sale Rumah atau Kantor Cocok Dibangun Hotel, atau Restoran Mewah atau Gedung atau Ruang Usaha Cafe atau Kantor atau Klinik atau Lainnya Area Prime Dekat Blok M dan Mabes dan Wijaya Area Kebayoran Baru Jakarta Selatan",Rp 55 Miliar,"Kebayoran Baru, Jakarta Selatan",6,5,12,LT:  1165 m²,LB:  452 m²
47,Jakarta Selatan,For Sale Cepat Rumah Murah Tanah Luas Harga Murah Lokasi Strategis Area Pejaten Barat Kemang Jakarta Selatan,"Rp 7,5 Miliar","Pejaten, Jakarta Selatan",3,2,4,LT:  404 m²,LB:  250 m²
48,Jakarta Selatan,For Salerumah Modern Dalam Townhouse Lokasi Dekat Sekolah Internasional dan Kemang Raya Area Kemang Jakarta Selatan,Rp 16 Miliar,"Kemang, Jakarta Selatan",4,3,4,LT:  412 m²,LB:  400 m²
49,Jakarta Selatan,For Sale Rumah Lama Tanah Luas bisa Bangun Rumah atau Mini Townhouse atau Tempat Tinggal Dekat Sekolah Internasional dan Dekat Kuliner dan MRT Cipete Harga Murah Area Cipete Jakarta Selatan,Rp 22 Miliar,"Cipete, Jakarta Selatan",5,3,4,LT:  931 m²,LB:  325 m²
50,Jakarta Selatan,For Sale Rumah Mewah Cantik Dalam Compound Lokasi Nyaman dan Asri Area Pejaten Dekat Kemang Jakarta Selatan,Rp 32 Miliar,"Pejaten, Jakarta Selatan",5,4,5,LT:  1230 m²,LB:  650 m²
51,Jakarta Selatan,For Sale House Mewah Modern Lokasi Dekat Blok M dan Mabes dan Perkantoran Area Kebayoran Baru Jakarta Selatan,Rp 32 Miliar,"Kebayoran Baru, Jakarta Selatan",5,4,4,LT:  346 m²,LB:  400 m²
52,Jakarta Selatan,For Sale Rumah Murah Harga Murah Lokasi Strategis Kemang Raya dan Ampera dan Pejaten dan Cocok untuk Investasi Area Pejaten Kemang Jakarta Selatan,"Rp 7,5 Miliar","Kemang, Jakarta Selatan",3,2,4,LT:  404 m²,LB:  250 m²
53,Jakarta Selatan,"Rumah Lux Lokasi Premier Depan Taman Pondok Indah, Jakarta Selatan",Rp 53 Miliar,"Pondok Indah, Jakarta Selatan",5 + 4,5 + 2,10 + 10,LT:  1100 m²,LB:  1200 m²
54,Jakarta Selatan,Rumah Mewah Modern Tropical Style Kebayoran Baru,Rp 45 Miliar,"Kebayoran Baru, Jakarta Selatan",5 + 1,4 + 1,2 + 3,LT:  888 m²,LB:  800 m²
55,Jakarta Selatan,Dijual Murah Se NJOP di Kemang Timur Raya. Luas 1344M2,Rp 30 Miliar,"Kemang, Jakarta Selatan",3,4,2 + 12,LT:  1344 m²,LB:  500 m²
56,Jakarta Selatan,Rumah di Jual Cepat Lebak Bulus,"Rp 5,8 Miliar","Lebak Bulus, Jakarta Selatan",4 + 1,3 + 1,1 + 1,LT:  305 m²,LB:  250 m²
