ID,city,name,price,address,bedroom,bathroom,garage,surface_area,building_area
57,Jakarta Selatan,Rumah Siap Huni Dikawasan Elit Bintaro. Harga 1 M-An,"Rp 1,3 Miliar","Bintaro, Jakarta Selatan",3,2,1,LT:  63 m²,LB:  69 m²
58,Jakarta Selatan,Dijual Rumah 3 Bedroom di Cilandak Luas dan Strategis Dekat Mall Toll Rs Kampus,"Rp 1,9 Miliar","Cilandak, Jakarta Selatan",3,2,1 + 1,LT:  74 m²,LB:  60 m²
59,Jakarta Selatan,Hot Jual Murah Rumah Mewah 2 Lantai di Pondok Indah,Rp 26 Miliar,"Pondok Indah, Jakarta Selatan",7 + 1,5 + 1,3 + 3,LT:  425 m²,LB:  750 m²
60,Jakarta Selatan,Dijual Murah Rumah di Keluarahan Selong (Kebayorab Baru Area Senopati) Luas 1050M2 Dalam Portal Hanya Rp 70 Milyar Nego,Rp 79 Miliar,"Kebayoran Baru, Jakarta Selatan",6,4,3 + 6,LT:  1050 m²,LB:  600 m²
61,Jakarta Utara,"Dijual Rumah Cantik di Lokasi Premier Danau Sunter, Full Furnish","Rp 8,25 MiliarRp 10.5 MTurun Rp 2.2 Miliaran","Sunter, Jakarta Utara",4 + 1,5 + 1,1 + 2,LT:  300 m²,LB:  500 m²
62,Jakarta Utara,Cash / KPR - Rumah Pik2 10X20 [4+1 Kamar Tidur],"Rp 7,2 Miliar","Pantai Indah Kapuk 2, Jakarta Utara",4 + 1,4 + 1,2,LT:  200 m²,LB:  224 m²
63,Jakarta Utara,Turun Harga - Rumah Bgm 12X25 Pik 1 Full Furnish Interior Mewah - Unit Langka Segera Terjual!,"Rp 11,8 MiliarRp 12.9 MTurun Rp 1.1 Miliaran","Pantai Indah Kapuk, Jakarta Utara",7 + 2,7 + 2,2 + 2,LT:  300 m²,LB:  555 m²
64,Jakarta Utara,Rumah Sunter SHM,Rp 5 MiliarRp 5.5 MTurun Rp 500 Jutaan,"Sunter, Jakarta Utara",3,3,0,LT:,LB:
65,Jakarta Utara,Rumah Sunter Siap Huni dengan Kolam Renang,"Rp 8,5 Miliar","Sunter, Jakarta Utara",4,5,0,LT:,LB:
66,Jakarta Utara,Rumah Sunter Hadap Timur,"Rp 5,5 Miliar","Sunter, Jakarta Utara",5,5,0,LT:,LB:
67,Jakarta Utara,Rumah Sunter Hadap Selatan Siap Huni,"Rp 3,25 MiliarRp 3.4 MTurun Rp 200 Jutaan","Sunter, Jakarta Utara",4,3,0,LT:,LB:
68,Jakarta Utara,Rumah Golf Island Cluster Violin Furnish,"Rp 12,3 MiliarRp 14 MTurun Rp 1.7 Miliaran","Pantai Indah Kapuk, Jakarta Utara",7,6,0,LT:,LB:
69,Jakarta Utara,Rumah Sunter Hadap Selatan,"Rp 2,35 MiliarRp 2.4 MTurun Rp 50 Jutaan","Sunter, Jakarta Utara",4,3,0,LT:,LB:
70,Jakarta Utara,Rumah Golf Island Semi Furnish,Rp 11 Miliar,"Pantai Indah Kapuk, Jakarta Utara",4,3,0,LT:,LB:
71,Jakarta Utara,Rumah Sunter Hadap Timur,"Rp 7,3 MiliarRp 7.5 MTurun Rp 200 Jutaan","Sunter, Jakarta Utara",4,3,0,LT:,LB:
72,Jakarta Utara,Rumah Sunter Furnish,Rp 5 MiliarRp 6.1 MTurun Rp 1.1 Miliaran,"Sunter, Jakarta Utara",6,3,0,LT:,LB:
73,Jakarta Utara,Dijual Rumah Huk Mewah di Pik Sangat Homey,Rp 15 Miliar,"Pantai Indah Kapuk, Jakarta Utara",5,6,2 + 2,LT:  390 m²,LB:  1000 m²
74,Jakarta Utara,Rumah Mewah Minimalis Sunter Sts Nego Sampai Jadi,Rp 8 MiliarRp 8.5 MTurun Rp 500 Jutaan,"Sunter, Jakarta Utara",5,5,1 + 2,LT:  192 m²,LB:  500 m²
75,Jakarta Utara,Rumah Agung Permai Minimalis Rumah Sunter Agung Permai Minimalis,"Rp 4,7 Miliar","Sunter, Jakarta Utara",4,4,1 + 1,LT:  180 m²,LB:  180 m²
76,Jakarta Utara,Rumah Sunter Siap Huni Nego Sampai Jadi,"Rp 6,1 Miliar","Sunter, Jakarta Utara",3,2,1 + 1,LT:  204 m²,LB:  290 m²
77,Jakarta Utara,Rumah Sunter Paradise 2 Rumah Sunter Minimalis Rumah Minimalis Sunter Rumah Sunter Paradise Rumah Sts Rumah Garden Rumah Agung Permai,"Rp 7,2 MiliarRp 7.5 MTurun Rp 300 Jutaan","Sunter, Jakarta Utara",4,4,2 + 2,LT:  190 m²,LB:  522 m²
78,Jakarta Utara,Promo Free PPN - Rumah 8X20 Golf Island Brand New bisa KPR - Segera Terjual!,"Rp 5,4 Miliar","Golf Island, Jakarta Utara",3 + 1,3 + 1,2,LT:  160 m²,LB:  174 m²
79,Jakarta Utara,"Jual Cepat, Rumah Minimalis Semi Furnish Bebas Banjir di Sunter Agung, Nego","Rp 4,45 Miliar","Sunter, Jakarta Utara",5 + 1,5 + 1,2,LT:  119 m²,LB:  252 m²
80,Jakarta Utara,Direct Jogging Track. Backyard Area. Struktur Rumah Terjaga dengan Baik. Langka. Jarang Ada. Ada Halaman Depan. Rumah Sangat2 Asri. Row Jalan Sangat2 Lebar. Hadap Tidak Tepat Selatan Lebih ke Arah Tenggara. Fully Furnish,Rp 29 Miliar,"Pantai Indah Kapuk, Jakarta Utara",4,5,2 + 4,LT:  525 m²,LB:  440 m²
81,Jakarta Utara,Turun Harga Rumah 8X15 Pik 2 Tahap 1 Termurah Pasti Terjual Bulan Ini - Welcome Investor,"Rp 3,9 MiliarRp 4 MTurun Rp 100 Jutaan","Pantai Indah Kapuk 2, Jakarta Utara",4 + 1,3 + 1,2,LT:  120 m²,LB:  200 m²
82,Jakarta Pusat,For Sale House Dalam Bentuk Kost Kostan dan Terisi Rumah bisa untuk Kantor atau Tempat Tinggal atau Multifungsi atau Klinik Area Premium Menteng Jakarta Pusat,Rp 55 Miliar,"Menteng, Jakarta Pusat",6,6,5,LT:  629 m²,LB:  700 m²
83,Jakarta Pusat,"Jual Cepat, Rumah Luxury 2Lantai Siap Huni di Menteng",Rp 20 Miliar,"Menteng, Jakarta Pusat",8 + 1,8 + 1,3 + 2,LT:  537 m²,LB:  1100 m²
84,Jakarta Pusat,Dijual Rumah Springhill Kemayoran Siap Huni Furnished,"Rp 6,9 Miliar","Kemayoran, Jakarta Pusat",5,4,1 + 3,LT:  153 m²,LB:  525 m²
85,Jakarta Pusat,Hunian Premium Luas Harga Terjangkau Dijual Kondisi Baru dengan 3 Lantai,"Rp 6,5 Miliar","Menteng, Jakarta Pusat",5,5,2 + 2,LT:  120 m²,LB:  223 m²
86,Jakarta Pusat,Rumah Cantik Lokasi Strategis di Percetakan Negara Jakarta Pusat,"Rp 1,07 Miliar","Percetakan Negara, Jakarta Pusat",2,2,1,LT:  31 m²,LB:  59 m²
87,Jakarta Pusat,"Compound Unit Mewah Siap Huni di Menteng Jakarta Pusat Rumah Bagus SHM di Jl. H.o.s. Cokroaminoto No 6, Gondangdia, Menteng, Kota Jakarta Pusat, Dki Jakarta, Indonesia, 10350, Menteng","Rp 54,5 MiliarRp 57.5 MTurun Rp 3 Miliaran","Menteng, Jakarta Pusat",10,10,4 + 2,LT:  629 m²,LB:  505 m²
88,Jakarta Pusat,Jual Rumah Kondisi Baru Mewah Luas di Jakarta Fasilitas Lengkap 5 Kamar,"Rp 6,5 Miliar","Cempaka Putih, Jakarta Pusat",5,5,2 + 2,LT:  120 m²,LB:  223 m²
89,Jakarta Pusat,KPR Rumah Akses Mobil Cempaka Putih,Rp 990 JutaRp 1.1 MTurun Rp 110 Jutaan,"Cempaka Putih, Jakarta Pusat",2,2,1,LT:  31 m²,LB:  60 m²
90,Jakarta Pusat,2 Lantai KPR Siap Huni Kemayoran Lokasi Pinggir Jalan,"Rp 1,7 Miliar","Kemayoran, Jakarta Pusat",2,2,1 + 1,LT:  96 m²,LB:  110 m²
91,Jakarta Pusat,KPR Rumah Mewah Cempaka Putih,"Rp 3,5 Miliar","Cempaka Putih, Jakarta Pusat",4,4,1 + 1,LT:  92 m²,LB:  172 m²
92,Jakarta Pusat,Rumah bisa KPR Cempaka Putih,"Rp 1,6 MiliarRp 1.8 MTurun Rp 200 Jutaan","Cempaka Putih, Jakarta Pusat",3,3,1 + 1,LT:  61 m²,LB:  120 m²
93,Jakarta Pusat,(Kpr) Rumah 2 Lantai Akses Mobil Jakarta,Rp 995 Juta,"Cempaka Putih, Jakarta Pusat",3,3,1 + 1,LT:  27 m²,LB:  75 m²
94,Jakarta Pusat,Rumah Minimalis Non Carport Jakarta Pusat,Rp 480 Juta,"Cempaka Putih, Jakarta Pusat",2,2,1,LT:  22 m²,LB:  50 m²
95,Jakarta Pusat,Rumah Siap Huni Percetakan Negara Salemba,"Rp 1,35 Miliar","Cempaka Putih, Jakarta Pusat",4,3,1,LT:  69 m²,LB:  110 m²
96,Jakarta Pusat,Rumah di Jual 2 LT Jl Lagura Dekat Kuliner Taman Solo Jakarta Pusat,"Rp 1,47 MiliarRp 1.8 MTurun Rp 300 Jutaan","Cempaka Putih, Jakarta Pusat",3,3,1,LT:  42 m²,LB:  72 m²
97,Jakarta Pusat,Dijual Cepat Rumah di Benhil Cocok untuk Hunian atau Kantor,Rp 13 Miliar,"Bendungan Hilir, Jakarta Pusat",6,4,2 + 2,LT:  520 m²,LB:  348 m²
98,Jakarta Pusat,Jarang Ada! Rumah Mewah 3 Lantai New Condition Ada Premium Clubhouse,"Rp 6,5 Miliar","Menteng, Jakarta Pusat",5,5,2 + 2,LT:  120 m²,LB:  223 m²
99,Jakarta Pusat,Sale! Rumah Scandinivian Dekat Radjak Hospital Salemba Jakarta Pusat,"Rp 1,07 Miliar","Salemba, Jakarta Pusat",3,2,1 + 1,LT:  25 m²,LB:  73 m²
100,Jakarta Pusat,Hunian Minimalis Ala Scandinavia di Percetakan Negara-Jakpus,"Rp 1,29 Miliar","Percetakan Negara, Jakarta Pusat",3,2,1 + 1,LT:  35 m²,LB:  68 m²
101,Jakarta Pusat,Exlusive Living! Rumah Modern Premium di Cempaka Putih Tengah,"Rp 2,53 Miliar","Cempaka Putih, Jakarta Pusat",3,3,1 + 1,LT:  54 m²,LB:  78 m²
18,Jakarta Timur,Rumah di Jual Deket Perkantoran Rawamangun,Rp 1 Miliar,"Rawamangun, Jakarta Timur",3 + 1,3 + 1,1 + 1,LT:  46 m²,LB:  73 m²
53,Jakarta Selatan,Jual Rumah 2 Lantai 3 KT Kondisi Baru Dekat MRT Lebak Bulus,"Rp 1,4 MiliarRp 1.5 MTurun Rp 100 Jutaan","Lebak Bulus, Jakarta Selatan",3,2,1 + 1,LT:  47 m²,LB:  50 m²
54,Jakarta Selatan,Rumah Besar dan Mewah Siap Huni Dalam Kompleks Hook Private di Jakarta Selatan Rumah Bagus SHM di Lebak Bulus,Rp 18 Miliar,"Lebak Bulus, Jakarta Selatan",5,3,2 + 5,LT:  999 m²,LB:  600 m²
55,Jakarta Selatan,"Luxurious Brand New House Full Furnished Desain American Classic di Kemang, Jakarta Selatan",Rp 38 Miliar,"Kemang, Jakarta Selatan",6,6,7 + 3,LT:  517 m²,LB:  760 m²
56,Jakarta Selatan,Rumah Pondok Indah Nego Tipis Lokasi Bagus,Rp 24 Miliar,"Pondok Indah, Jakarta Selatan",4 + 2,4 + 1,2 + 2,LT:  425 m²,LB:  500 m²
57,Jakarta Selatan,Rumah Tropical Minimalis di Pondok Indah,"Rp 19,8 Miliar","Pondok Indah, Jakarta Selatan",3 + 1,3 + 2,2 + 2,LT:  410 m²,LB:  350 m²
58,Jakarta Selatan,"2 Lantai,","Rp 1,3 Miliar","Lebak Bulus, Jakarta Selatan",3,3,2,LT:  60 m²,LB:  80 m²
59,Jakarta Selatan,"Di Cilandak,","Rp 1,3 Miliar","Cilandak, Jakarta Selatan",3,3,2 + 1,LT:  61 m²,LB:  80 m²
107,Jakarta Timur,Rumah 2 Lantai di Duren Sawit. Selangkah ke Stasiun Buaran,"Rp 2,1 Miliar","Cipinang, Jakarta Timur",3,3,2,LT:  92 m²,LB:  110 m²
108,Jakarta Timur,Jarang Ada! Rumah di Duren Sawit | Selangkah ke Mall Buaran,"Rp 2,2 Miliar","Pondok Kelapa, Jakarta Timur",4,4,0,LT:,LB:
109,Jakarta Timur,Di Jual Rumah Murah 2 Lantai Mewah dan Bagus Rawamangun Jakarta Timur,"Rp 1,59 Miliar","Rawamangun, Jakarta Timur",3,3,1 + 1,LT:  48 m²,LB:  74 m²
110,Jakarta Timur,Rumah Nyaman.security 24 Jam.dekat Pintu Toll,Rp 13 MiliarRp 13.5 MTurun Rp 500 Jutaan,"Bambu Apus, Jakarta Timur",5,4,2 + 4,LT:  1120 m²,LB:  500 m²
111,Jakarta Timur,Rumah Terawat Zona Komersial di Jl Persahabatan Cipinang Jaktim,"Rp 19,2 MiliarRp 20.9 MTurun Rp 1.7 Miliaran","Rawamangun, Jakarta Timur",4,4,4,LT:  1150 m²,LB:  470 m²
112,Jakarta Timur,Rumah 2 Lantai Pinggir Jalan Raya 400 Meter Stasiun Klender,"Rp 1,49 Miliar","Cipinang, Jakarta Timur",3,2,1,LT:  40 m²,LB:  63 m²
113,Jakarta Timur,Rumah 2 Lantai Pinggir Jalan Raya Ciracas Strategis,"Rp 1,25 Miliar","Ciracas, Jakarta Timur",3,2,1,LT:  56 m²,LB:  90 m²
114,Jakarta Timur,Rumah Dijual Murah Munjul Cipayung Jaktim,Rp 279 Juta,"Cipayung, Jakarta Timur",1,1,0,LT:,LB:
115,Jakarta Timur,Rumah Under 1 M Dekat Rs Persahabatan,Rp 970 Juta,"Cipinang, Jakarta Timur",2,2,1 + 1,LT:  32 m²,LB:  55 m²
116,Jakarta Timur,Rumah Murah Cluster Kayumanis Dekat Pasar Pramuka Jakarta Timur,Rp 526 Juta,"Matraman, Jakarta Timur",2,2,0,LT:,LB:
117,Jakarta Timur,Best Deal Turun Harga di Bawah Pasaran Modern Premium Asya Matana - Jgc Jakarta Timur,"Rp 4,88 MiliarRp 5.1 MTurun Rp 220 Jutaan","Jakarta Garden City, Jakarta Timur",6,5,2,LT:  153 m²,LB:  250 m²
118,Jakarta Timur,Hiden Gem! Rumah Mewah Hanya 5Menit ke LRT,Rp 950 Juta,"Cibubur, Jakarta Timur",3,2,1,LT:  60 m²,LB:  70 m²
119,Jakarta Timur,Jual Cepat Rumah Cluster La Seine Jgc,"Rp 1,5 Miliar","Jakarta Garden City, Jakarta Timur",3,2,0,LT:,LB:
120,Jakarta Timur,Rumah Siap Huni Akses Motor dan Hanya 20 Meter ke Jalan Mobil tersedia Pilihan Satu Lantai dan Dua Lantai dengan Lokasi Strategis di Cilangkap Jakarta Timur,Rp 340 JutaRp 350 JTTurun Rp 10 Jutaan,"Cipayung, Jakarta Timur",2,1,1 + 1,LT:  33 m²,LB:  45 m²
121,Jakarta Utara,Super Mewah Rumah Eksklusif Camar Pik 1 Furnished,"Rp 17,4 Miliar","Pantai Indah Kapuk, Jakarta Utara",4 + 1,2 + 1,1 + 3,LT:  345 m²,LB:  1035 m²
